227,FRANCE,N,FRANCE
61,FRANZ JOSEF LAND,N,FRANZ JOSEF LAND
57,FRENCH EQUATORIAL AFRICA,Y,
63,FRENCH GUIANA,N,FRENCH GUIANA
67,FRENCH INDIA,Y,
58,FRENCH INDO-CHINA,Y,
175,FRENCH POLYNESIA,N,FRENCH POLYNESIA
59,FRENCH WEST AFRICA,Y,
420,GABON,N,GABON
71,GALAPAGOS IS.,N,GALAPAGOS ISLANDS
75,GEORGIA,N,GEORGIA
229,GERMAN DEMOCRATIC REPUBLIC,Y,
81,GERMANY,Y,
93,GEYSER REEF,Y,
424,GHANA,N,GHANA
233,GIBRALTAR,N,GIBRALTAR
99,GLORIOSO IS.,N,GLORIOSO ISLANDS
101,GOA,Y,
102,"GOLD COAST, TOGOLAND",Y,
236,GREECE,N,GREECE
237,GREENLAND,N,GREENLAND
77,GRENADA,N,GRENADA
79,GUADELOUPE,N,GUADELOUPE
103,GUAM,N,GUAM
105,GUANTANAMO BAY,N,GUANTANAMO BAY
76,GUATEMALA,N,GUATEMALA
106,GUERNSEY,N,GUERNSEY
107,GUINEA,N,GUINEA
109,GUINEA-BISSAU,N,GUINEA-BISSAU
129,GUYANA,N,GUYANA
78,HAITI,N,HAITI
110,HAWAII,N,HAWAII
111,HEARD I.,N,HEARD ISLAND
80,HONDURAS,N,HONDURAS
321,HONG KONG,N,HONG KONG
239,HUNGARY,N,HUNGARY
242,ICELAND,N,ICELAND
113,IFNI,Y,
324,INDIA,N,INDIA
327,INDONESIA,N,INDONESIA
330,IRAN,N,IRAN
333,IRAQ,N,IRAQ
245,IRELAND,N,IRELAND
114,ISLE OF MAN,N,ISLE OF MAN
336,ISRAEL,N,ISRAEL
115,ITALIAN SOMALILAND,Y,
248,ITALY,N,ITALY
117,ITU HQ,N,ITU HQ
82,JAMAICA,N,JAMAICA
118,JAN MAYEN,N,JAN MAYEN
339,JAPAN,N,JAPAN
119,JAVA,Y,
122,JERSEY,N,JERSEY
123,JOHNSTON I.,N,JOHNSTON ISLAND
342,JORDAN,N,JORDAN
124,"JUAN DE NOVA, EUROPA",N,"JUAN DE NOVA, EUROPA"
125,JUAN FERNANDEZ IS.,N,JUAN FERNANDEZ ISLANDS
126,KALININGRAD,N,KALININGRAD
127,KAMARAN IS.,Y,
128,KARELO-FINNISH REPUBLIC,Y,
130,KAZAKHSTAN,N,KAZAKHSTAN
430,KENYA,N,KENYA
131,KERGUELEN IS.,N,KERGUELEN ISLANDS
133,KERMADEC IS.,N,KERMADEC ISLANDS
134,KINGMAN REEF,Y,
138,KURE I.,N,KURE ISLAND
139,KURIA MURIA I.,Y,
348,KUWAIT,N,KUWAIT
68,KUWAIT/SAUDI ARABIA NEUTRAL ZONE,Y,
135,KYRGYZSTAN,N,KYRGYZSTAN
142,LAKSHADWEEP IS.,N,LAKSHADWEEP ISLANDS
143,LAOS,N,LAOS
145,LATVIA,N,LATVIA
354,LEBANON,N,LEBANON
432,LESOTHO,N,LESOTHO
434,LIBERIA,N,LIBERIA
